ticker,open_price,current_price,year_high,year_low,company_name
MO,41.88,41.34,48.11,39.07,"Altria Group, Inc."
MOH,373.97,380.48,386.34,256.19,Molina Healthcare Inc
MOS,33.67,32.78,57.46,31.44,Mosaic Company (The)
MPC,157.65,157.46,162.31,104.32,Marathon Petroleum Corporation
MPWR,588.86,578.76,647.12,379.1,"Monolithic Power Systems, Inc."
MRK,118.07,118.63,119.94,99.14,"Merck & Company, Inc."
MRNA,107.0,105.95,207.51,62.55,"Moderna, Inc."
MRO,23.4,23.4,29.85,20.57,Marathon Oil Corporation
MS,91.28,89.7,100.99,69.42,Morgan Stanley
MSCI,555.3,545.46,573.32,451.55,MSCI Inc.
MSFT,385.49,388.47,390.68,230.68,Microsoft Corporation
MSI,315.29,316.31,329.83,251.0,"Motorola Solutions, Inc."
MTB,135.45,133.08,161.99,108.53,M&T Bank Corporation
MTCH,37.96,36.88,54.6,27.85,"Match Group, Inc."
MTD,1198.69,1182.28,1615.97,928.5,"Mettler-Toledo International, I"
MU,82.75,82.39,87.87,52.76,"Micron Technology, Inc."
NCLH,17.42,16.75,22.75,12.15,Norwegian Cruise Line Holdings 
NDAQ,56.95,56.93,63.9,46.88,"Nasdaq, Inc."
NDSN,253.39,251.62,265.99,202.57,Nordson Corporation
NEE,61.18,61.04,86.47,47.15,"NextEra Energy, Inc."
NEM,38.16,37.64,55.41,33.59,Newmont Corporation
NFLX,500.51,492.16,503.41,285.33,"Netflix, Inc."
NI,26.67,26.74,28.95,22.86,NiSource Inc
NKE,106.0,105.06,131.31,88.66,"Nike, Inc."
NOC,468.77,481.08,496.89,414.56,Northrop Grumman Corporation
NOW,724.8,729.18,734.3,405.37,"ServiceNow, Inc."
NRG,50.88,50.72,52.42,30.25,"NRG Energy, Inc."
NSC,227.85,229.53,260.2,183.09,Norfolk Southern Corporation
NTAP,87.28,86.67,91.78,59.73,"NetApp, Inc."
NTRS,83.87,83.81,100.25,62.44,Northern Trust Corporation
NUE,168.43,168.89,182.68,129.79,Nucor Corporation
NVDA,546.2,547.1,553.46,167.31,NVIDIA Corporation
NVR,7242.24,7208.9,7267.02,4900.99,"NVR, Inc."
NWS,25.5,25.34,26.0,15.73,News Corporation
NWSA,24.4,24.24,24.81,15.58,News Corporation
NXPI,211.3,209.11,238.27,155.31,NXP Semiconductors N.V.
O,59.53,58.9,68.85,45.04,Realty Income Corporation
ODFL,391.35,388.87,438.05,295.8,"Old Dominion Freight Line, Inc."
OKE,71.3,70.65,72.52,55.91,"ONEOK, Inc."
OMC,89.61,88.76,99.23,72.2,Omnicom Group Inc.
ON,74.2,73.47,111.35,61.47,ON Semiconductor Corporation
ORCL,105.1,106.6,127.54,82.04,Oracle Corporation
ORLY,948.38,953.06,1005.96,767.27,"O'Reilly Automotive, Inc."
OTIS,86.52,86.21,91.33,73.32,Otis Worldwide Corporation
OXY,58.25,58.06,67.93,55.12,Occidental Petroleum Corporatio
PANW,324.51,325.24,330.4,137.11,"Palo Alto Networks, Inc."
PARA,13.305,13.33,25.93,10.51,Paramount Global
PAYC,199.9,197.57,374.04,146.15,"Paycom Software, Inc."
PAYX,119.98,119.72,129.7,104.09,"Paychex, Inc."
PCAR,95.17,94.05,98.47,64.78,PACCAR Inc.
PCG,17.7,17.51,18.32,14.71,Pacific Gas & Electric Co.
PEAK,20.61,20.84,28.43,15.24,"Healthpeak Properties, Inc."
PEG,60.8,60.32,65.46,53.71,Public Service Enterprise Group
PEP,166.34,167.27,196.88,155.83,"Pepsico, Inc."
PFE,28.46,28.7,46.74,25.76,"Pfizer, Inc."
PFG,79.14,78.75,93.87,65.17,Principal Financial Group Inc
PG,150.95,150.6,158.38,135.83,Procter & Gamble Company (The)
PGR,169.38,168.9,169.96,111.41,Progressive Corporation (The)
PH,465.0,460.32,465.83,297.12,Parker-Hannifin Corporation
PHM,106.14,104.91,106.39,49.48,"PulteGroup, Inc."
PKG,167.32,166.16,171.61,122.2,Packaging Corporation of Americ
PLD,132.65,131.55,137.52,96.64,"Prologis, Inc."
PM,95.97,95.27,105.62,87.23,Philip Morris International Inc
PNC,151.79,148.92,167.12,109.4,"PNC Financial Services Group, I"
PNR,72.09,70.77,73.27,47.9,Pentair plc.
PNW,71.34,71.25,86.03,68.55,Pinnacle West Capital Corporati
PODD,208.31,200.5,335.91,125.82,Insulet Corporation
POOL,387.5,381.82,423.97,307.77,Pool Corporation
PPG,147.05,145.55,152.89,120.33,"PPG Industries, Inc."
PPL,27.26,27.08,30.83,22.2,PPL Corporation
PRU,104.0,103.23,107.31,75.37,"Prudential Financial, Inc."
PSA,292.73,295.03,316.48,233.18,Public Storage
PSX,132.51,132.87,138.06,89.74,Phillips 66
PTC,172.84,172.17,176.25,115.45,PTC Inc.
PWR,203.67,202.46,219.17,142.18,"Quanta Services, Inc."
PXD,223.99,223.69,257.76,177.27,Pioneer Natural Resources Compa
PYPL,61.8,61.0,88.625,50.25,"PayPal Holdings, Inc."
QCOM,142.12,140.2,146.89,101.47,QUALCOMM Incorporated
QRVO,104.0,102.3,114.97,80.62,"Qorvo, Inc."
RCL,123.03,121.21,130.97,59.37,Royal Caribbean Cruises Ltd.
REG,64.88,64.07,68.56,54.72,Regency Centers Corporation
REGN,925.0,933.2,935.37,684.81,"Regeneron Pharmaceuticals, Inc."
RF,18.64,18.28,24.33,13.72,Regions Financial Corporation
RHI,81.2,80.69,89.78,64.65,Robert Half Inc.
RJF,111.0,109.13,120.73,82.0,"Raymond James Financial, Inc."
RL,141.49,138.02,148.04,103.17,Ralph Lauren Corporation
RMD,178.56,173.9,243.52,132.24,ResMed Inc.
ROK,307.35,304.59,348.52,252.19,"Rockwell Automation, Inc."
ROL,43.99,43.75,45.04,32.19,"Rollins, Inc."
ROP,535.88,534.19,551.91,416.78,"Roper Technologies, Inc."
ROST,137.23,136.58,139.32,99.0,"Ross Stores, Inc."
RSG,164.42,166.14,167.17,120.58,"Republic Services, Inc."
RTX,86.56,86.33,104.91,68.56,RTX Corporation
RVTY,111.77,110.8,145.35,79.5,"Revvity, Inc."
SBAC,243.11,239.9,309.52,185.23,SBA Communications Corporation
SBUX,93.23,91.98,115.48,89.21,Starbucks Corporation
SCHW,65.65,65.23,84.51,45.0,Charles Schwab Corporation (The
SHW,298.87,302.51,314.14,205.43,Sherwin-Williams Company (The)
SJM,127.88,129.5,159.92,107.33,The J.M. Smucker Company
SLB,49.71,49.95,62.12,42.73,Schlumberger N.V.
SNA,286.07,283.92,297.26,226.68,Snap-On Incorporated
SNPS,501.3,494.4,573.77,329.89,"Synopsys, Inc."
SO,71.05,71.42,75.8,61.56,Southern Company (The)
SPG,145.5,146.62,146.91,100.17,"Simon Property Group, Inc."
SPGI,437.47,437.0,443.72,321.15,S&P Global Inc.
SRE,75.44,75.41,81.82,63.75,DBA Sempra
STE,224.62,223.4,254.0,173.21,STERIS plc (Ireland)
STLD,113.29,113.22,136.46,90.55,"Steel Dynamics, Inc."
STT,77.22,76.51,94.74,62.78,State Street Corporation
STX,82.41,82.78,87.93,54.32,Seagate Technology Holdings PLC
STZ,258.32,258.3,273.65,210.15,"Constellation Brands, Inc."
SWK,97.78,95.5,104.21,73.12,"Stanley Black & Decker, Inc."
SWKS,103.29,102.48,123.69,85.06,"Skyworks Solutions, Inc."
SYF,38.19,36.73,39.34,26.59,Synchrony Financial
